target_account,matched_customer,status
Jindal Steel (Wire),Jindal Steel & Power -Mines & Plant Automation,FLAGGED - EXISTING CUSTOMER
Syngenta India (Seeds),Syngenta India Ltd,FLAGGED - EXISTING CUSTOMER
Vedanta (Scrap),Vedanta,FLAGGED - EXISTING CUSTOMER
Balkrishna (BKT),BALKRISHNA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
Air Liquide Engg,Air Liquide,FLAGGED - EXISTING CUSTOMER
Bosch India,Bosch Global,FLAGGED - EXISTING CUSTOMER
Sleepwell (Sheela),SHEEL PRIVATE LIMITED,FLAGGED - EXISTING CUSTOMER
Shriram Pistons (Shriram Fert),Shriram Pistons,FLAGGED - EXISTING CUSTOMER
Pushpak Steel,HP Inc.,FLAGGED - EXISTING CUSTOMER
Gupta Power,India Power,FLAGGED - EXISTING CUSTOMER
Terex India,Texbrex,FLAGGED - EXISTING CUSTOMER
Nilkamal,Linclimited,FLAGGED - EXISTING CUSTOMER
Saint-Gobain Gyproc,SAINT - GOBAIN INDIA PRIVATE - JIND,FLAGGED - EXISTING CUSTOMER
Godrej Interio,Inter,FLAGGED - EXISTING CUSTOMER
SMS Group India,SI Group,FLAGGED - EXISTING CUSTOMER
Nexans India,Nexans,FLAGGED - EXISTING CUSTOMER
Bharat Forge,Bharat Forge,FLAGGED - EXISTING CUSTOMER
ACC/Ambuja (Fuel),Linclimited,FLAGGED - EXISTING CUSTOMER
Hindustan National Glass,Linclimited,FLAGGED - EXISTING CUSTOMER
Indorama Fertilizers,Indorama,FLAGGED - EXISTING CUSTOMER
MRF Tyres,MRF Tyres,FLAGGED - EXISTING CUSTOMER
HPCL (Lubes),HP Inc.,FLAGGED - EXISTING CUSTOMER
CEAT Tyres,T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
BPCL (Lubes),UBE,FLAGGED - EXISTING CUSTOMER
Kinley (HCCB),Linclimited,FLAGGED - EXISTING CUSTOMER
Anik Industries,anik diary,FLAGGED - EXISTING CUSTOMER
Corning India,Corning,FLAGGED - EXISTING CUSTOMER
CPCL (Refinery),Linclimited,FLAGGED - EXISTING CUSTOMER
Welspun Corp (Wire),Linclimited,FLAGGED - EXISTING CUSTOMER
DVC,dvcexpress.in,FLAGGED - EXISTING CUSTOMER
Castrol India,Astral,FLAGGED - EXISTING CUSTOMER
Best Agrolife,Best Agrolife Limited,FLAGGED - EXISTING CUSTOMER
Venky's (VH Group),Luxottica Group S.p.A.,FLAGGED - EXISTING CUSTOMER
Dow Coatings,Dow,FLAGGED - EXISTING CUSTOMER
Nezone Tubes,NEZONE INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
Aquafina (VBL),Linclimited,FLAGGED - EXISTING CUSTOMER
Heranba Industries,Heranba Industries,FLAGGED - EXISTING CUSTOMER
Anabond,Ananda,FLAGGED - EXISTING CUSTOMER
Plaza Cables,Linclimited,FLAGGED - EXISTING CUSTOMER
Vardhman Special,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Frontier Biscuits,ISC,FLAGGED - EXISTING CUSTOMER
FMC India,Bajaj Group - International FMCG Business,FLAGGED - EXISTING CUSTOMER
Nippon Steel India (Tubes),Nippontubes,FLAGGED - EXISTING CUSTOMER
Polyfibre Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Bharat Rasayan,Bharat Roadways,FLAGGED - EXISTING CUSTOMER
Jain Irrigation (Pipes),Jain Irrigation Systems Ltd,FLAGGED - EXISTING CUSTOMER
Oil India Ltd,OilSERV,FLAGGED - EXISTING CUSTOMER
Kaleesuwari Refinery,Kaleesuwari Refinery Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Hitachi Rail India,Hitachi Rail,FLAGGED - EXISTING CUSTOMER
Talcher Fertilizers,LC,FLAGGED - EXISTING CUSTOMER
Axalta Coating,Axalta Coating Systems,FLAGGED - EXISTING CUSTOMER
UPL Seeds (Advanta),UPL,FLAGGED - EXISTING CUSTOMER
Rayzon Solar,Linclimited,FLAGGED - EXISTING CUSTOMER
HG Infra,Om Infra,FLAGGED - EXISTING CUSTOMER
BORL (BPCL),Linclimited,FLAGGED - EXISTING CUSTOMER
Ashoka Buildcon,ASHOKA BUILDCON LIMITED-,FLAGGED - EXISTING CUSTOMER
Transport Corporation,transport.ro,FLAGGED - EXISTING CUSTOMER
Licious (Fresh),Linclimited,FLAGGED - EXISTING CUSTOMER
RHI Magnesita India,RHI Magnesita,FLAGGED - EXISTING CUSTOMER
Rhenus Logistics,BRISK LOGISTICS,FLAGGED - EXISTING CUSTOMER
Hindware (HSIL),HSIL,FLAGGED - EXISTING CUSTOMER
Saipem India,SIPCHEM,FLAGGED - EXISTING CUSTOMER
3F Industries,3F Industries,FLAGGED - EXISTING CUSTOMER
Toyo Engineering,Jash Engineering Limited,FLAGGED - EXISTING CUSTOMER
Orient Refractories,IFGL Refractories,FLAGGED - EXISTING CUSTOMER
Electrotherm Steel,ELECTROSTEEL STEELS LTD,FLAGGED - EXISTING CUSTOMER
IOCL (Pipelines),Linclimited,FLAGGED - EXISTING CUSTOMER
Palco Metals,LC,FLAGGED - EXISTING CUSTOMER
IB Group,SI Group,FLAGGED - EXISTING CUSTOMER
GR Infraprojects,J Kumar Infraprojects Ltd,FLAGGED - EXISTING CUSTOMER
Atul Ltd (Agro),Valagro,FLAGGED - EXISTING CUSTOMER
Sabero Organics,Goldstab Organics Pvt Ltd,FLAGGED - EXISTING CUSTOMER
LyondellBasell India,Dell,FLAGGED - EXISTING CUSTOMER
GAIL (Buyer),GAIL India,FLAGGED - EXISTING CUSTOMER
NCC Ltd,NCC LIMITED - LUCKNOW,FLAGGED - EXISTING CUSTOMER
Constantia Flexibles (SB),Linclimited,FLAGGED - EXISTING CUSTOMER
Reliance Fresh,Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
DMart (Avenue),IndiaMART,FLAGGED - EXISTING CUSTOMER
Vedanta (TSPL),Vedanta,FLAGGED - EXISTING CUSTOMER
Livspace,Linclimited,FLAGGED - EXISTING CUSTOMER
Electrotherm (DI),Electrotherm (India) Limited,FLAGGED - EXISTING CUSTOMER
Gowardhan (Parag),P,FLAGGED - EXISTING CUSTOMER
Wacker India,Acer Inc,FLAGGED - EXISTING CUSTOMER
State Water Boards,Ate India,FLAGGED - EXISTING CUSTOMER
Advanta Seeds,Advanta seeds ,FLAGGED - EXISTING CUSTOMER
NCCF,NBCC Limited,FLAGGED - EXISTING CUSTOMER
Birla Jingwei,Linclimited,FLAGGED - EXISTING CUSTOMER
BigBasket (Fresh),RES,FLAGGED - EXISTING CUSTOMER
Mother Dairy (Safal),MOTHER DAIRY FRUIT & VEGETABLE,FLAGGED - EXISTING CUSTOMER
ESAB India,Esab India Ltd,FLAGGED - EXISTING CUSTOMER
Choksey Chemicals,Reachem Chemicals,FLAGGED - EXISTING CUSTOMER
POWERGRID,hitachi-powergrids.com,FLAGGED - EXISTING CUSTOMER
BSNL (Fiber),Linclimited,FLAGGED - EXISTING CUSTOMER
Exxon Mobil India,ExxonMobil,FLAGGED - EXISTING CUSTOMER
Adani Transmission,ION,FLAGGED - EXISTING CUSTOMER
Stone Exporters Assn,XP India,FLAGGED - EXISTING CUSTOMER
Emmvee Photovoltaic,Linclimited,FLAGGED - EXISTING CUSTOMER
IRB Infrastructure,ABAN INFRASTRUCTURE PRIVATE LIMITED,FLAGGED - EXISTING CUSTOMER
Kurl-On,Linclimited,FLAGGED - EXISTING CUSTOMER
Rasoya Proteins,Goyal Proteins Ltd,FLAGGED - EXISTING CUSTOMER
Dhunseri Petrochem,Dhunseri Petrochem Limited,FLAGGED - EXISTING CUSTOMER
Jal Jeevan Mission,Linclimited,FLAGGED - EXISTING CUSTOMER
Jio (Fiber),jio,FLAGGED - EXISTING CUSTOMER
BPCL (Chemicals),Alps Chemicals Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Noise,Noise,FLAGGED - EXISTING CUSTOMER
PNC Infratech,Ate India,FLAGGED - EXISTING CUSTOMER
Perfect Metal Works,Linclimited,FLAGGED - EXISTING CUSTOMER
Goodricke Group,Goodricke Group Limited,FLAGGED - EXISTING CUSTOMER
Bhuwalka Steel,Linclimited,FLAGGED - EXISTING CUSTOMER
Ankur Seeds,Ankur Seeds Pvt,FLAGGED - EXISTING CUSTOMER
Sigma Minerals,Linclimited,FLAGGED - EXISTING CUSTOMER
MAN Trucks India,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Shree Anna,REE,FLAGGED - EXISTING CUSTOMER
Raajratna Metal Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
SAF Aluminium,ANRAK ALUMINIUM,FLAGGED - EXISTING CUSTOMER
Tokai Carbon India,India Carbon Limited,FLAGGED - EXISTING CUSTOMER
Asbury Carbons India,India Carbon Limited,FLAGGED - EXISTING CUSTOMER
Topworth Steel,Linclimited,FLAGGED - EXISTING CUSTOMER
Shinto India,Sprinto,FLAGGED - EXISTING CUSTOMER
British Paints,Tisindia,FLAGGED - EXISTING CUSTOMER
Perma Construction,Paresh Constructions Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Henkel India (Adhesives),Linclimited,FLAGGED - EXISTING CUSTOMER
DCM (Nylon),Linclimited,FLAGGED - EXISTING CUSTOMER
Aksh Optifibre,Aksh Opti Fiber,FLAGGED - EXISTING CUSTOMER
Electrosteel (Sponge),ELECTROSTEEL STEELS LTD,FLAGGED - EXISTING CUSTOMER
Kirloskar Ferrous,Linclimited,FLAGGED - EXISTING CUSTOMER
Jayaswal Neco,Linclimited,FLAGGED - EXISTING CUSTOMER
Rungta Mines (Sponge),P,FLAGGED - EXISTING CUSTOMER
Tata Cliq/Croma,Linclimited,FLAGGED - EXISTING CUSTOMER
Leoni Cables,Leoni,FLAGGED - EXISTING CUSTOMER
Stone India,Bridgestone Tyre,FLAGGED - EXISTING CUSTOMER
Nagarjuna Agrichem,Nagarjuna Agrichem,FLAGGED - EXISTING CUSTOMER
Reliance Power,Reliance Energy,FLAGGED - EXISTING CUSTOMER
Rama Phosphates,Ate India,FLAGGED - EXISTING CUSTOMER
Kaveri Latex,Ate India,FLAGGED - EXISTING CUSTOMER
Nilachal Ispat,Aanchal Ispat,FLAGGED - EXISTING CUSTOMER
Mahindra Sanyo,Sany India,FLAGGED - EXISTING CUSTOMER
Hindustan Silica,Linclimited,FLAGGED - EXISTING CUSTOMER
Dalmia Steel,Zamil Steel India,FLAGGED - EXISTING CUSTOMER
Besco Ltd,Tesco,FLAGGED - EXISTING CUSTOMER
Ferro Alloys Corporation,Hira Ferro Alloys Ltd - India,FLAGGED - EXISTING CUSTOMER
Dow Silicones India,Linclimited,FLAGGED - EXISTING CUSTOMER
Kolor Kote (JSK),Linclimited,FLAGGED - EXISTING CUSTOMER
Hempel India,Hempel,FLAGGED - EXISTING CUSTOMER
Associated Soapstone,Ate India,FLAGGED - EXISTING CUSTOMER
Rohit Ferro-Tech,ECH,FLAGGED - EXISTING CUSTOMER
HPL Electric,C&S Electric,FLAGGED - EXISTING CUSTOMER
Kalyani Rubber,Linclimited,FLAGGED - EXISTING CUSTOMER
Flint Group,Tofflon Group,FLAGGED - EXISTING CUSTOMER
Annapurna (HUL),Annapurna Group,FLAGGED - EXISTING CUSTOMER
Devans Modern Breweries,Devan Modern Breweries,FLAGGED - EXISTING CUSTOMER
IREL (Indian Rare Earths),Linclimited,FLAGGED - EXISTING CUSTOMER
Ramdev Food Products,C P Milk and Food Products Pvt.,FLAGGED - EXISTING CUSTOMER
T Stanes,T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
SEC Industries,SKILL COUNCIL FOR MINING SECTOR,FLAGGED - EXISTING CUSTOMER
Sherwin-Williams,Sherwin-Williams,FLAGGED - EXISTING CUSTOMER
Nippon Carbon India,India Carbon Limited,FLAGGED - EXISTING CUSTOMER
Shri Bajrang Power,Shri Bajrang power and ispat limited,FLAGGED - EXISTING CUSTOMER
Aditya Birla Chemicals,Aditya Birla Group (N),FLAGGED - EXISTING CUSTOMER
Thirumalai Chemicals,Simalin Chemical Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Vesuvius India,Vesuvius,FLAGGED - EXISTING CUSTOMER
SAIL CPP,Linclimited,FLAGGED - EXISTING CUSTOMER
Tata Consumer (NourishCo),TATA CONSUMER PRODUCTS LIMITED - KARNAL,FLAGGED - EXISTING CUSTOMER
SML (Sumitomo),Linclimited,FLAGGED - EXISTING CUSTOMER
Bansal Wire Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Suryakant Oil,Linclimited,FLAGGED - EXISTING CUSTOMER
Anand Wires,RES,FLAGGED - EXISTING CUSTOMER
DFM Foods,G.D Foods,FLAGGED - EXISTING CUSTOMER
Tropical Agrosystem,Tropical Agrosystems,FLAGGED - EXISTING CUSTOMER
CLAAS India,Linclimited,FLAGGED - EXISTING CUSTOMER
Petronet LNG,Linclimited,FLAGGED - EXISTING CUSTOMER
Khaitan Chemicals,Satol Chemicals,FLAGGED - EXISTING CUSTOMER
Mersen India,RS,FLAGGED - EXISTING CUSTOMER
Ultra Tech (Agrochem),Linclimited,FLAGGED - EXISTING CUSTOMER
Adani Green Energy,Saatvik Green Energy,FLAGGED - EXISTING CUSTOMER
Bridon Bekaert,Bekaert,FLAGGED - EXISTING CUSTOMER
Goa Carbon,India Carbon Limited,FLAGGED - EXISTING CUSTOMER
Indo-American Hybrid,Indo-American Hybrid Seeds,FLAGGED - EXISTING CUSTOMER
Abhijeet Ferrotech,ECH,FLAGGED - EXISTING CUSTOMER
DeHaat,DeHaat,FLAGGED - EXISTING CUSTOMER
Reliance Gases,Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
Crown Beers (Dukes),Dukes India,FLAGGED - EXISTING CUSTOMER
Sanchit Alloys,Linclimited,FLAGGED - EXISTING CUSTOMER
Inox CVA (Merged),INOX INDIA PVT. LTD,FLAGGED - EXISTING CUSTOMER
Manali Petrochem (Fats),Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Forbo Siegling,Linclimited,FLAGGED - EXISTING CUSTOMER
Zenith Steel Pipes,kabra steel pipes,FLAGGED - EXISTING CUSTOMER
Asian Wire Industries,ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
Central Coalfields,Linclimited,FLAGGED - EXISTING CUSTOMER
Minda Corporation (Rail),Spark Minda Corporation TMS Deal,FLAGGED - EXISTING CUSTOMER
Bostik India (Arkema),Bostik India Private Limited,FLAGGED - EXISTING CUSTOMER
Sudhakar Pipes,P,FLAGGED - EXISTING CUSTOMER
Himalayan (Tata),Himalayan Solar Pvt,FLAGGED - EXISTING CUSTOMER
ITC (B Natural),ITC Limited,FLAGGED - EXISTING CUSTOMER
Asia Pacific Breweries,ASI Industries Ltd.,FLAGGED - EXISTING CUSTOMER
HPGCL,HP Inc.,FLAGGED - EXISTING CUSTOMER
Apcotex Industries,Apcotex Industries Limited,FLAGGED - EXISTING CUSTOMER
Premier Minerals,Linclimited,FLAGGED - EXISTING CUSTOMER
NRL (Numaligarh),Linclimited,FLAGGED - EXISTING CUSTOMER
Taiyo Nippon Sanso,Taiyo Nippon Sanso India,FLAGGED - EXISTING CUSTOMER
India Carbon,rudranshcarbon.com,FLAGGED - EXISTING CUSTOMER
Tenaris India,Tenaris,FLAGGED - EXISTING CUSTOMER
K.C. Das (Bengal),Linclimited,FLAGGED - EXISTING CUSTOMER
Saumya Carbon,India Carbon Limited,FLAGGED - EXISTING CUSTOMER
Hindalco (Acid),LC,FLAGGED - EXISTING CUSTOMER
Black Cat Carbon,Linclimited,FLAGGED - EXISTING CUSTOMER
Michelin India,michelin,FLAGGED - EXISTING CUSTOMER
Power Grid Corporation,Power Grid Corporation of India Limited,FLAGGED - EXISTING CUSTOMER
Sumeet Industries,Shumee,FLAGGED - EXISTING CUSTOMER
Coffee Day (CCL),Coffee Day Beverages,FLAGGED - EXISTING CUSTOMER
Crystal Crop,Linclimited,FLAGGED - EXISTING CUSTOMER
Usha Martin (Sponge),Usha martin,FLAGGED - EXISTING CUSTOMER
Liugong India,Linclimited,FLAGGED - EXISTING CUSTOMER
Elkem (Silicone),Linclimited,FLAGGED - EXISTING CUSTOMER
Arun Ice Cream,NOTO Healthy Ice Cream,FLAGGED - EXISTING CUSTOMER
Vandana Global,Vandanaglobal,FLAGGED - EXISTING CUSTOMER
Balkrishna Industries (BKT),BALKRISHNA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
VU Televisions,Linclimited,FLAGGED - EXISTING CUSTOMER
Parekh Fibres,P,FLAGGED - EXISTING CUSTOMER
Gold Plus Glass,Gold Plus Glass Industry,FLAGGED - EXISTING CUSTOMER
Himachal Wire Industries,IMAC,FLAGGED - EXISTING CUSTOMER
Hi-Tech Carbon,Hi-Tech Group,FLAGGED - EXISTING CUSTOMER
ITC Ltd,Frugal Logisitcs Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Steel Authority Wire,Linclimited,FLAGGED - EXISTING CUSTOMER
Continental Wire,Continental,FLAGGED - EXISTING CUSTOMER
Super Wire & Wire Mesh,MES,FLAGGED - EXISTING CUSTOMER
Rimjhim Ispat,Rimjhim Ispat,FLAGGED - EXISTING CUSTOMER
Atlas Copco Wire,Atlas Copco Group,FLAGGED - EXISTING CUSTOMER
Havmor (Lotte),Linclimited,FLAGGED - EXISTING CUSTOMER
Thai Acrylic (India),Linclimited,FLAGGED - EXISTING CUSTOMER
Birla Cable,Linclimited,FLAGGED - EXISTING CUSTOMER
Uttam Galva (Sponge),Linclimited,FLAGGED - EXISTING CUSTOMER
TCI Freight,C Freight,FLAGGED - EXISTING CUSTOMER
Bridgestone India,Bridgestone Tyre,FLAGGED - EXISTING CUSTOMER
Veer Ispat,Ispat Industries Ltd,FLAGGED - EXISTING CUSTOMER
Danone India,Danone India - Load planning,FLAGGED - EXISTING CUSTOMER
Balco (Scrap),LC,FLAGGED - EXISTING CUSTOMER
NKT Cables (India),Linclimited,FLAGGED - EXISTING CUSTOMER
Desai Fruits,DE,FLAGGED - EXISTING CUSTOMER
Novozymes (India),MES,FLAGGED - EXISTING CUSTOMER
ACE Tractors,RS,FLAGGED - EXISTING CUSTOMER
Vinayak Industrial Gases,Vin Industries,FLAGGED - EXISTING CUSTOMER
Tatva Chintan,Tatva Chintan Pharma Chem Limited,FLAGGED - EXISTING CUSTOMER
Universal Cryogenics,Universal,FLAGGED - EXISTING CUSTOMER
Vimax Crop Science,GSP Crop Science Private Limited - End to End TMS,FLAGGED - EXISTING CUSTOMER
Thyssenkrupp Mining India,P,FLAGGED - EXISTING CUSTOMER
Rathi Steel (Ferro),Rathi Steel And Power Limited,FLAGGED - EXISTING CUSTOMER
Vectus Industries,Vectus Industries Ltd,FLAGGED - EXISTING CUSTOMER
MYK Laticrete,Linclimited,FLAGGED - EXISTING CUSTOMER
SM Ferrous,Shyam Ferro,FLAGGED - EXISTING CUSTOMER
Afzal Steels,Aarti Steels Private Limited,FLAGGED - EXISTING CUSTOMER
Kingfisher (UB Water),Ate India,FLAGGED - EXISTING CUSTOMER
Sims Metal (India),sai ram metals,FLAGGED - EXISTING CUSTOMER
Chemours India,RS,FLAGGED - EXISTING CUSTOMER
Topline Wire Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Syska (Cables),Linclimited,FLAGGED - EXISTING CUSTOMER
WayCool,Linclimited,FLAGGED - EXISTING CUSTOMER
Spar India (Landmark),Ark,FLAGGED - EXISTING CUSTOMER
RRVUNL,Linclimited,FLAGGED - EXISTING CUSTOMER
TISCO Gases,ISC,FLAGGED - EXISTING CUSTOMER
Jayshree Tea,Jay Shree Tea & Industries Ltd,FLAGGED - EXISTING CUSTOMER
Kesar Logistics,Decker Logistics Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Seed Processing Plants,Linclimited,FLAGGED - EXISTING CUSTOMER
Eaton Hydraulics India,Canara Hydraulics Private Limited,FLAGGED - EXISTING CUSTOMER
Messer India,MES,FLAGGED - EXISTING CUSTOMER
IGL,Fertiglobe,FLAGGED - EXISTING CUSTOMER
GSPC,SPIC Ltd,FLAGGED - EXISTING CUSTOMER
Punjab Tractors,P,FLAGGED - EXISTING CUSTOMER
Simple Energy,Simplex Engineering,FLAGGED - EXISTING CUSTOMER
Saint-Gobain Grains,SAINT - GOBAIN INDIA PRIVATE - JIND,FLAGGED - EXISTING CUSTOMER
L&T Heavy,H T L LTD - GUINDY,FLAGGED - EXISTING CUSTOMER
ICL India,WELSPUN CORP LTD. - Gate Automation for LMV vehicles,FLAGGED - EXISTING CUSTOMER
Usha Martin (Ferro),Usha martin,FLAGGED - EXISTING CUSTOMER
Champion Wire Industries,ION,FLAGGED - EXISTING CUSTOMER
HIL Ltd (Birla),HIL LIMITED,FLAGGED - EXISTING CUSTOMER
Fratelli Wines,Wine,FLAGGED - EXISTING CUSTOMER
Hengxing India (Seamless),Linclimited,FLAGGED - EXISTING CUSTOMER
Sethia Oils,Shah Foils Limited,FLAGGED - EXISTING CUSTOMER
Vadilal Gases,Linclimited,FLAGGED - EXISTING CUSTOMER
Cabot India,ABT Limited,FLAGGED - EXISTING CUSTOMER
Kamani Oils,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Stena Recycling,Linclimited,FLAGGED - EXISTING CUSTOMER
Featherlite,Featherlite,FLAGGED - EXISTING CUSTOMER
NPK India,P,FLAGGED - EXISTING CUSTOMER
Lohia Auto,Linclimited,FLAGGED - EXISTING CUSTOMER
Manitowoc India (Grove),Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
XCMG India Manufacturing,ISGO MANUFACTURING,FLAGGED - EXISTING CUSTOMER
Archean Chemical,Sudarshan Chemical Industries,FLAGGED - EXISTING CUSTOMER
Brugg Cables,Linclimited,FLAGGED - EXISTING CUSTOMER
R.K. Marble,R A K CERAMICS INDIA PRIVATE - SAMALKOTA,FLAGGED - EXISTING CUSTOMER
Shree Cement,Bheema Cement,FLAGGED - EXISTING CUSTOMER
OnePlus India,EPL Ltd,FLAGGED - EXISTING CUSTOMER
Birla Corp,MANGALAM CEMENT LTD (Birla Uttam ),FLAGGED - EXISTING CUSTOMER
BPL Recycling,Linclimited,FLAGGED - EXISTING CUSTOMER
Nova Iron & Steel,Arya Iron & Steel Company Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Hindalco (Scrap),LC,FLAGGED - EXISTING CUSTOMER
Triumph India,Triumph Motorcycles Limited,FLAGGED - EXISTING CUSTOMER
Sarda Energy (Ferro),Sarda Energy and Minerals Limited,FLAGGED - EXISTING CUSTOMER
PSL Ltd (O&G),Linclimited,FLAGGED - EXISTING CUSTOMER
Mahyco,Mahyco,FLAGGED - EXISTING CUSTOMER
Amara Raja Oxygen,AMARA RAJA BATTERIES - Shipment Tracking & epod,FLAGGED - EXISTING CUSTOMER
WBPDCL,Linclimited,FLAGGED - EXISTING CUSTOMER
Japfa Comfeed,P,FLAGGED - EXISTING CUSTOMER
Bhagyanagar Sponge,NAGA LIMITED,FLAGGED - EXISTING CUSTOMER
ITC Dairy,ITC Limited,FLAGGED - EXISTING CUSTOMER
Captain Tractors,Tai industries Limited,FLAGGED - EXISTING CUSTOMER
NALCO (Scrap),LC,FLAGGED - EXISTING CUSTOMER
HMT Tractors,T.T. LIMITED,FLAGGED - EXISTING CUSTOMER
Gustav Wolf (India),Linclimited,FLAGGED - EXISTING CUSTOMER
Samarth Oils,Linclimited,FLAGGED - EXISTING CUSTOMER
Grover Zampa,ZAMP,FLAGGED - EXISTING CUSTOMER
Orion Engineered Carbons,Orion,FLAGGED - EXISTING CUSTOMER
PSPCL,Linclimited,FLAGGED - EXISTING CUSTOMER
E-Parisaraa,PARI,FLAGGED - EXISTING CUSTOMER
Viraj Profiles (Ferro),Linclimited,FLAGGED - EXISTING CUSTOMER
Force Motors (Tractors),Force Motors,FLAGGED - EXISTING CUSTOMER
Vedanta (Pig Iron),Vedanta,FLAGGED - EXISTING CUSTOMER
Zoomlion India,ZoomInfo,FLAGGED - EXISTING CUSTOMER
Rajashree Polyfil,REE,FLAGGED - EXISTING CUSTOMER
John Deere Construction (India),John Deere,FLAGGED - EXISTING CUSTOMER
Baskin Robbins (India),Baskin Robbins,FLAGGED - EXISTING CUSTOMER
Triton Valves (Carbon),Triton Valves,FLAGGED - EXISTING CUSTOMER
MRF Paints,Surface Paints,FLAGGED - EXISTING CUSTOMER
Carbone Lorraine,Linclimited,FLAGGED - EXISTING CUSTOMER
RINL (Scrap),Linclimited,FLAGGED - EXISTING CUSTOMER
ABB India (Solar),ABB,FLAGGED - EXISTING CUSTOMER
Navitas Solar,Linclimited,FLAGGED - EXISTING CUSTOMER
Precision Rubber,PRECISION WIRES INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
BGIL (BOC),Linclimited,FLAGGED - EXISTING CUSTOMER
Escorts Kubota (Rail),Escorts Limited,FLAGGED - EXISTING CUSTOMER
Tagros Chemicals,Alps Chemicals Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
GAIL Gases,GAIL India,FLAGGED - EXISTING CUSTOMER
Chemtron Science Labs,Cie-India,FLAGGED - EXISTING CUSTOMER
BEML (Rubber Div),Linclimited,FLAGGED - EXISTING CUSTOMER
Kodak (SPPL),K+S,FLAGGED - EXISTING CUSTOMER
GSP Crop Science,GSP Crop Science Private Limited - End to End TMS,FLAGGED - EXISTING CUSTOMER
Carbon & Chemicals,Calibre Chemicals,FLAGGED - EXISTING CUSTOMER
Fevicol (Pidilite Dealers),Linclimited,FLAGGED - EXISTING CUSTOMER
Shree Cement (Fuel),REE,FLAGGED - EXISTING CUSTOMER
AAK India (Aarhus),AAK,FLAGGED - EXISTING CUSTOMER
Nagpur Alloys,Sona Alloys Pvt Limited,FLAGGED - EXISTING CUSTOMER
Delta Electronics,Flash Electronics,FLAGGED - EXISTING CUSTOMER
FreshToHome,RES,FLAGGED - EXISTING CUSTOMER
Momentive (India),Momentive,FLAGGED - EXISTING CUSTOMER
Aries Agro,Parle Agro,FLAGGED - EXISTING CUSTOMER
CESC,CESC Limited,FLAGGED - EXISTING CUSTOMER
Laticrete India,Linclimited,FLAGGED - EXISTING CUSTOMER
Spencer's Retail,Spencer Retail,FLAGGED - EXISTING CUSTOMER
Mahindra Agri (Saboro),GRI,FLAGGED - EXISTING CUSTOMER
Textile Processors,Linclimited,FLAGGED - EXISTING CUSTOMER
Indian Wire Products,NS Mint Products Private Limited,FLAGGED - EXISTING CUSTOMER
Yara India,Siyaram's,FLAGGED - EXISTING CUSTOMER
CP India (Charoen Pokphand),P,FLAGGED - EXISTING CUSTOMER
Raw Pressery,Raw Pressery,FLAGGED - EXISTING CUSTOMER
Jindal Stainless (Ferro),Jindal Stainless Jajpur Tracking,FLAGGED - EXISTING CUSTOMER
Revolt Motors,Revolt Motors,FLAGGED - EXISTING CUSTOMER
Mantra Organic,Tradin Organic,FLAGGED - EXISTING CUSTOMER
Goel Gas,Linclimited,FLAGGED - EXISTING CUSTOMER
Flipkart (MarQ),Flipkart India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Willowood Chemicals,Linclimited,FLAGGED - EXISTING CUSTOMER
Red Bull India,Linclimited,FLAGGED - EXISTING CUSTOMER
Indo Farm,INI Farms,FLAGGED - EXISTING CUSTOMER
Ajio (Reliance),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
Amrut Distilleries,Alcobrew Distilleries India Pvt,FLAGGED - EXISTING CUSTOMER
Aditya Birla Gases,Aditya Birla Group (N),FLAGGED - EXISTING CUSTOMER
Impex Ferro Tech,ECH,FLAGGED - EXISTING CUSTOMER
JioMart (Reliance),Reliance Industries Ltd,FLAGGED - EXISTING CUSTOMER
UPRVUNL,Linclimited,FLAGGED - EXISTING CUSTOMER
