target_account,matched_customer,status
Phillips Carbon,HIL LIMITED,FLAGGED - EXISTING CUSTOMER
D.P. Wires,D P Logistics,FLAGGED - EXISTING CUSTOMER
Vinati Organics,Vin Industries,FLAGGED - EXISTING CUSTOMER
IOCL (Bitumen),Linclimited,FLAGGED - EXISTING CUSTOMER
RVNL,Linclimited,FLAGGED - EXISTING CUSTOMER
Uflex Ltd,Duroflex,FLAGGED - EXISTING CUSTOMER
Bayer CropScience,BAYER CROP SCIENCE LIMITED,FLAGGED - EXISTING CUSTOMER
Glencore India,Glencore plc,FLAGGED - EXISTING CUSTOMER
Gujarat Fluorochemicals,Linclimited,FLAGGED - EXISTING CUSTOMER
DMart (Staples),Linclimited,FLAGGED - EXISTING CUSTOMER
Thriveni Earthmovers,Thriveni Earthmovers,FLAGGED - EXISTING CUSTOMER
Mandi Gobindgarh Cluster,Man Industries Ltd,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever (Foods),Linclimited,FLAGGED - EXISTING CUSTOMER
Flipkart (Walmart),Flipkart India Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Amber Enterprises,Al Emadi Enterprises,FLAGGED - EXISTING CUSTOMER
Divi's Labs,Divi's Laboratories Limited,FLAGGED - EXISTING CUSTOMER
SSLT (Sesa Sterlite),Linclimited,FLAGGED - EXISTING CUSTOMER
Solvent Extractors Assn,Linclimited,FLAGGED - EXISTING CUSTOMER
Megha Engineering,Jash Engineering Limited,FLAGGED - EXISTING CUSTOMER
UltraTech (Captive),Ate India,FLAGGED - EXISTING CUSTOMER
Jindal Poly Films,Nahar Polyfilms,FLAGGED - EXISTING CUSTOMER
V-Guard Industries,V-Guard,FLAGGED - EXISTING CUSTOMER
Piramal Pharma,Piramal Group (pharma),FLAGGED - EXISTING CUSTOMER
Nagarjuna Fertilisers,NAGA LIMITED,FLAGGED - EXISTING CUSTOMER
GNFC Ltd,Gujarat Narmada Valley Fertilizers and Chemical & Pharma Limited (GNFC),FLAGGED - EXISTING CUSTOMER
Ircon International,Sohamma International Pvt,FLAGGED - EXISTING CUSTOMER
RINL (Vizag Steel),Linclimited,FLAGGED - EXISTING CUSTOMER
Radico Khaitan,khaitan,FLAGGED - EXISTING CUSTOMER
Afcons Infrastructure,Conquest Infrastructure Pvt Ltd,FLAGGED - EXISTING CUSTOMER
IPCA Labs,IPSA Labs Pvt Ltd,FLAGGED - EXISTING CUSTOMER
Essar Steel (AM/NS),essarsteel.co.in,FLAGGED - EXISTING CUSTOMER
Alok Industries,Alok Transport -SIM Tracking,FLAGGED - EXISTING CUSTOMER
Galaxy Surfactants,Galaxy Surfactants,FLAGGED - EXISTING CUSTOMER
BCCL (Bharat Coking),Linclimited,FLAGGED - EXISTING CUSTOMER
GE Vernova India,GE Vernova,FLAGGED - EXISTING CUSTOMER
Kisan Mouldings,Linclimited,FLAGGED - EXISTING CUSTOMER
Ferrero India,Ferrero,FLAGGED - EXISTING CUSTOMER
Page Industries (Jockey),Page Industries Ltd,FLAGGED - EXISTING CUSTOMER
Lloyd (Havells),HAVELLS INDIA LIMITED,FLAGGED - EXISTING CUSTOMER
CEAT Ltd,CERA,FLAGGED - EXISTING CUSTOMER
IMFA,IMAC,FLAGGED - EXISTING CUSTOMER
Shalimar Paints,Shalimar Paints Ltd,FLAGGED - EXISTING CUSTOMER
ACC Ltd (Mining),ACC Limited,FLAGGED - EXISTING CUSTOMER
Linde India,Linde North America,FLAGGED - EXISTING CUSTOMER
Gopaljee (Ananda),Gopal,FLAGGED - EXISTING CUSTOMER
Ramkrishna Forgings,VARSHA FORGINGS,FLAGGED - EXISTING CUSTOMER
Maharashtra Seamless,Linclimited,FLAGGED - EXISTING CUSTOMER
TIL Limited,CENTURY TEXTILES AND INDUSTRIES LIM - NAINITAL,FLAGGED - EXISTING CUSTOMER
INOX Air Products,INOX Air Products,FLAGGED - EXISTING CUSTOMER
Bodal Chemicals,Calibre Chemicals,FLAGGED - EXISTING CUSTOMER
Syngenta India,Syngenta India Ltd,FLAGGED - EXISTING CUSTOMER
Dow Chemicals,Satol Chemicals,FLAGGED - EXISTING CUSTOMER
AB InBev India,AB InBev India - ETE TMS,FLAGGED - EXISTING CUSTOMER
Agro Tech Foods,ECH,FLAGGED - EXISTING CUSTOMER
Mukand Ltd,Mukand Limited,FLAGGED - EXISTING CUSTOMER
Bisleri International,Pai International,FLAGGED - EXISTING CUSTOMER
